Checking_Account,Credit_Duration,Credit_History,Purpose,Credit_Amount,Savings_Account,Present_Employment_Duration,Installment_Rate,Personal_Status_And_Gender,Other_Debtors_Guarantors,Present_Residence_Duration,Property,Age_Group,Other_Installment_Plans,Housing,Num_Existing_Credits,Job_Class,Num_Liables,Telephone,Foreign_Worker
no checking account,8-10,critical account/ other credits existing (not at this bank),car (new),1000 <= ... < 2000, ... <  100 DM, .. >= 7 years,3,male: single,none,4,real estate,30-34,none,own,2,unskilled - resident,2,none,no
0 <= ... <  200 DM,15-18,existing credits paid back duly till now,radio/television,500 <= ... < 1000, ... <  100 DM, .. >= 7 years,4,male: single,none,3,car or other,35-39,none,own,1,skilled employee/ official,2,none,yes
no checking account,31-36,critical account/ other credits existing (not at this bank),business,4000 <= ... < 8000,unknown/ no savings account, .. >= 7 years,4,male: single,none,4,real estate,35-39,none,own,2,skilled employee/ official,1,none,yes
no checking account,19-24,existing credits paid back duly till now,radio/television,1000 <= ... < 2000, ... <  100 DM,... < 1 year,4,female: divorced/separated/married,none,3,car or other,35-39,stores,own,1,skilled employee/ official,1,yes,yes
... < 0 DM,11-14,existing credits paid back duly till now,car (new),8000 <= ... < 16000, ... <  100 DM, .. >= 7 years,1,male: divorced/separated,none,4,building society savings agreement/ life insurance,45-49,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes,no
no checking account,19-24,existing credits paid back duly till now,radio/television,500 <= ... < 1000,unknown/ no savings account, .. >= 7 years,4,male: single,none,2,car or other,25-29,none,own,2,skilled employee/ official,1,none,yes
no checking account,15-18,existing credits paid back duly till now,car (new),2000 <= ... < 4000,unknown/ no savings account,4  <= ... < 7 years,4,male: single,none,3,building society savings agreement/ life insurance,30-34,none,own,1,skilled employee/ official,1,none,no
no checking account,11-14,critical account/ other credits existing (not at this bank),furniture/equipment,1000 <= ... < 2000,500 <= ... < 1000 DM,4  <= ... < 7 years,3,female: divorced/separated/married,none,4,car or other,35-39,none,rent,1,skilled employee/ official,1,yes,yes
0 <= ... <  200 DM,43-48,all credits at this bank paid back duly,car (new),8000 <= ... < 16000,unknown/ no savings account,unemployed,4,male: single,co-applicant,4,unknown/ no property,35-39,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
0 <= ... <  200 DM,43-48,existing credits paid back duly till now,radio/television,2000 <= ... < 4000, ... <  100 DM,4  <= ... < 7 years,4,male: single,none,4,real estate,25-29,none,own,2,skilled employee/ official,1,none,yes
... < 0 DM,25-30,existing credits paid back duly till now,repairs,8000 <= ... < 16000, ... <  100 DM,... < 1 year,1,male: divorced/separated,none,1,unknown/ no property,30-34,none,own,1,unskilled - resident,1,yes,yes
no checking account,8-10,existing credits paid back duly till now,radio/television,2000 <= ... < 4000, ... <  100 DM,1  <= ... < 4 years,1,male: single,none,2,real estate,30-34,none,own,1,skilled employee/ official,2,none,yes
no checking account,15-18,critical account/ other credits existing (not at this bank),radio/television,2000 <= ... < 4000, ... <  100 DM,1  <= ... < 4 years,2,female: divorced/separated/married,none,2,car or other,25-29,none,own,2,skilled employee/ official,1,none,yes
... < 0 DM,11-14,existing credits paid back duly till now,furniture/equipment,1000 <= ... < 2000,unknown/ no savings account, .. >= 7 years,2,male: divorced/separated,none,4,building society savings agreement/ life insurance,45-49,none,own,1,unskilled - resident,1,yes,yes
no checking account,6-7,existing credits paid back duly till now,furniture/equipment,4000 <= ... < 8000, ... <  100 DM,... < 1 year,1,female: divorced/separated/married,none,4,building society savings agreement/ life insurance,30-34,none,own,1,skilled employee/ official,1,none,yes
no checking account,19-24,existing credits paid back duly till now,radio/television,1000 <= ... < 2000,100 <= ... <  500 DM,1  <= ... < 4 years,4,male: single,none,4,car or other,25-29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
no checking account,15-18,critical account/ other credits existing (not at this bank),car (used),2000 <= ... < 4000,.. >= 1000 DM, .. >= 7 years,3,male: single,none,4,unknown/ no property,20-24,none,rent,2,skilled employee/ official,1,yes,yes
no checking account,11-14,existing credits paid back duly till now,furniture/equipment,1000 <= ... < 2000, ... <  100 DM,1  <= ... < 4 years,4,male: single,none,2,real estate,50-54,none,own,1,skilled employee/ official,1,none,yes
... >= 200 DM / salary assignments for at least 1 year,15-18,all credits at this bank paid back duly,radio/television,1000 <= ... < 2000,unknown/ no savings account,4  <= ... < 7 years,4,male: single,none,4,car or other,45-49,bank,own,1,unskilled - resident,1,none,yes
no checking account,15-18,critical account/ other credits existing (not at this bank),furniture/equipment,1000 <= ... < 2000,unknown/ no savings account, .. >= 7 years,4,male: single,none,4,building society savings agreement/ life insurance,60-64,none,own,1,skilled employee/ official,1,none,yes
0 <= ... <  200 DM,19-24,critical account/ other credits existing (not at this bank),car (new),2000 <= ... < 4000,100 <= ... <  500 DM,... < 1 year,4,male: divorced/separated,none,2,car or other,35-39,none,own,1,skilled employee/ official,1,yes,yes
... < 0 DM,43-48,existing credits paid back duly till now,car (new),8000 <= ... < 16000, ... <  100 DM,... < 1 year,1,female: divorced/separated/married,none,1,real estate,35-39,none,own,1,unskilled - resident,1,yes,yes
... < 0 DM,43-48,existing credits paid back duly till now,car (used),4000 <= ... < 8000, ... <  100 DM,4  <= ... < 7 years,4,male: single,none,3,building society savings agreement/ life insurance,25-29,none,own,1,skilled employee/ official,2,none,yes
0 <= ... <  200 DM,43-48,delay in paying off in the past,others,4000 <= ... < 8000,100 <= ... <  500 DM,unemployed,2,male: single,none,4,unknown/ no property,30-34,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
0 <= ... <  200 DM,11-14,existing credits paid back duly till now,radio/television,1000 <= ... < 2000, ... <  100 DM,1  <= ... < 4 years,4,female: divorced/separated/married,guarantor,4,real estate,45-49,none,own,2,skilled employee/ official,1,yes,yes
... < 0 DM,19-24,delay in paying off in the past,radio/television,1000 <= ... < 2000, ... <  100 DM,... < 1 year,4,male: married/widowed,none,4,real estate,45-49,stores,own,1,skilled employee/ official,1,none,yes
no checking account,11-14,existing credits paid back duly till now,business,1000 <= ... < 2000, ... <  100 DM,1  <= ... < 4 years,2,male: married/widowed,none,2,real estate,25-29,none,own,1,skilled employee/ official,1,yes,no
0 <= ... <  200 DM,31-36,existing credits paid back duly till now,car (used),8000 <= ... < 16000, ... <  100 DM,... < 1 year,1,male: married/widowed,none,4,car or other,25-29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
... < 0 DM,19-24,critical account/ other credits existing (not at this bank),car (used),4000 <= ... < 8000, ... <  100 DM, .. >= 7 years,2,female: divorced/separated/married,none,4,unknown/ no property,40-44,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,yes,yes
... >= 200 DM / salary assignments for at least 1 year,37-42,critical account/ other credits existing (not at this bank),car (used),4000 <= ... < 8000, ... <  100 DM, .. >= 7 years,4,male: single,none,4,unknown/ no property,55-59,none,for free,1,skilled employee/ official,1,none,yes
no checking account,43-48,critical account/ other credits existing (not at this bank),business,4000 <= ... < 8000,unknown/ no savings account, .. >= 7 years,4,male: divorced/separated,none,2,car or other,45-49,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes
0 <= ... <  200 DM,43-48,existing credits paid back duly till now,furniture/equipment,8000 <= ... < 16000, ... <  100 DM,... < 1 year,1,female: divorced/separated/married,none,2,car or other,25-29,none,own,1,skilled employee/ official,1,yes,yes
no checking account,11-14,existing credits paid back duly till now,car (used),4000 <= ... < 8000,unknown/ no savings account,... < 1 year,1,female: divorced/separated/married,none,4,car or other,20-24,none,rent,1,skilled employee/ official,1,none,yes
no checking account,8-10,existing credits paid back duly till now,car (new),1000 <= ... < 2000,unknown/ no savings account, .. >= 7 years,4,male: single,co-applicant,2,building society savings agreement/ life insurance,45-49,none,own,1,unskilled - resident,1,none,no
no checking account,15-18,existing credits paid back duly till now,furniture/equipment,2000 <= ... < 4000, ... <  100 DM,1  <= ... < 4 years,3,male: single,none,4,real estate,40-44,none,own,1,skilled employee/ official,1,yes,yes
0 <= ... <  200 DM,19-24,critical account/ other credits existing (not at this bank),furniture/equipment,2000 <= ... < 4000,.. >= 1000 DM,4  <= ... < 7 years,3,male: single,none,2,car or other,30-34,none,own,2,skilled employee/ official,1,yes,yes
no checking account,6-7,existing credits paid back duly till now,car (new),500 <= ... < 1000, ... <  100 DM,unemployed,1,female: divorced/separated/married,none,4,real estate,50-54,none,own,1,unemployed/ unskilled non-resident,1,yes,yes
0 <= ... <  200 DM,31-36,no credits taken/ all credits paid back duly,radio/television,2000 <= ... < 4000, ... <  100 DM,1  <= ... < 4 years,4,female: divorced/separated/married,none,1,car or other,40-44,none,own,1,skilled employee/ official,1,yes,yes
... >= 200 DM / salary assignments for at least 1 year,19-24,critical account/ other credits existing (not at this bank),car (new),1000 <= ... < 2000,unknown/ no savings account,4  <= ... < 7 years,4,male: single,none,2,real estate,35-39,bank,own,2,unskilled - resident,2,none,yes
... < 0 DM,8-10,critical account/ other credits existing (not at this bank),car (new),1000 <= ... < 2000, ... <  100 DM,4  <= ... < 7 years,4,male: single,co-applicant,3,building society savings agreement/ life insurance,45-49,none,own,2,skilled employee/ official,1,yes,yes
no checking account,43-48,critical account/ other credits existing (not at this bank),car (new),8000 <= ... < 16000,500 <= ... < 1000 DM,1  <= ... < 4 years,2,male: single,none,2,unknown/ no property,40-44,bank,for free,1,skilled employee/ official,1,none,yes
no checking account,6-7,existing credits paid back duly till now,furniture/equipment,1000 <= ... < 2000,.. >= 1000 DM,1  <= ... < 4 years,4,male: divorced/separated,none,2,real estate,30-34,none,own,1,skilled employee/ official,1,none,yes
no checking account,25-30,existing credits paid back duly till now,car (used),4000 <= ... < 8000,unknown/ no savings account,4  <= ... < 7 years,2,female: divorced/separated/married,none,4,building society savings agreement/ life insurance,20-24,stores,rent,1,unskilled - resident,1,none,yes
... < 0 DM,11-14,existing credits paid back duly till now,radio/television,500 <= ... < 1000,100 <= ... <  500 DM,... < 1 year,4,male: married/widowed,none,3,unknown/ no property,30-34,none,own,1,unskilled - resident,1,yes,yes
0 <= ... <  200 DM,8-10,existing credits paid back duly till now,furniture/equipment,1000 <= ... < 2000, ... <  100 DM,1  <= ... < 4 years,3,female: divorced/separated/married,none,4,real estate,20-24,none,own,1,skilled employee/ official,1,none,yes
0 <= ... <  200 DM,8-10,existing credits paid back duly till now,car (new),... < 500, ... <  100 DM,1  <= ... < 4 years,4,male: married/widowed,none,4,real estate,20-24,none,rent,1,unskilled - resident,1,none,yes
0 <= ... <  200 DM,43-48,existing credits paid back duly till now,others,4000 <= ... < 8000,unknown/ no savings account,unemployed,3,male: single,none,4,unknown/ no property,40-44,bank,for free,1,unemployed/ unskilled non-resident,1,yes,yes
no checking account,19-24,existing credits paid back duly till now,furniture/equipment,4000 <= ... < 8000,100 <= ... <  500 DM,1  <= ... < 4 years,4,male: single,none,1,car or other,25-29,stores,own,1,skilled employee/ official,1,none,yes
... >= 200 DM / salary assignments for at least 1 year,19-24,existing credits paid back duly till now,furniture/equipment,2000 <= ... < 4000, ... <  100 DM,... < 1 year,2,female: divorced/separated/married,none,4,car or other,25-29,none,own,1,skilled employee/ official,1,none,yes
0 <= ... <  200 DM,11-14,existing credits paid back duly till now,car (new),500 <= ... < 1000, ... <  100 DM,4  <= ... < 7 years,2,male: married/widowed,none,3,car or other,25-29,bank,own,1,unskilled - resident,1,none,yes
... >= 200 DM / salary assignments for at least 1 year,4-5,existing credits paid back duly till now,car (new),1000 <= ... < 2000,unknown/ no savings account,... < 1 year,1,male: single,none,2,real estate,25-29,none,own,1,unskilled - resident,2,none,no
... < 0 DM,31-36,all credits at this bank paid back duly,furniture/equipment,2000 <= ... < 4000, ... <  100 DM, .. >= 7 years,4,male: single,none,4,car or other,30-34,bank,own,1,skilled employee/ official,1,none,yes
... < 0 DM,11-14,existing credits paid back duly till now,furniture/equipment,500 <= ... < 1000, ... <  100 DM,1  <= ... < 4 years,2,male: single,guarantor,3,building society savings agreement/ life insurance,35-39,none,own,1,unskilled - resident,2,none,yes
0 <= ... <  200 DM,19-24,existing credits paid back duly till now,furniture/equipment,4000 <= ... < 8000,unknown/ no savings account,1  <= ... < 4 years,1,female: divorced/separated/married,none,4,building society savings agreement/ life insurance,45-49,none,own,1,unskilled - resident,1,yes,yes
no checking account,11-14,critical account/ other credits existing (not at this bank),education,500 <= ... < 1000, ... <  100 DM,1  <= ... < 4 years,4,male: single,none,2,car or other,30-34,none,own,2,skilled employee/ official,1,none,yes
... < 0 DM,15-18,delay in paying off in the past,furniture/equipment,2000 <= ... < 4000, ... <  100 DM, .. >= 7 years,1,female: divorced/separated/married,none,4,building society savings agreement/ life insurance,25-29,none,own,2,unskilled - resident,1,none,yes
0 <= ... <  200 DM,25-30,critical account/ other credits existing (not at this bank),car (new),4000 <= ... < 8000, ... <  100 DM,unemployed,4,male: married/widowed,none,2,car or other,25-29,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes
... < 0 DM,19-24,existing credits paid back duly till now,radio/television,1000 <= ... < 2000, ... <  100 DM,... < 1 year,4,male: divorced/separated,none,3,building society savings agreement/ life insurance,30-34,none,own,1,skilled employee/ official,1,none,yes
... < 0 DM,19-24,existing credits paid back duly till now,car (used),2000 <= ... < 4000, ... <  100 DM,4  <= ... < 7 years,2,male: single,none,1,unknown/ no property,30-34,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
... < 0 DM,15-18,existing credits paid back duly till now,furniture/equipment,2000 <= ... < 4000,.. >= 1000 DM,1  <= ... < 4 years,4,male: single,none,2,car or other,25-29,none,own,1,skilled employee/ official,1,none,yes
no checking account,15-18,critical account/ other credits existing (not at this bank),car (new),1000 <= ... < 2000, ... <  100 DM,1  <= ... < 4 years,4,female: divorced/separated/married,none,3,real estate,35-39,none,own,2,skilled employee/ official,1,none,yes
... < 0 DM,8-10,critical account/ other credits existing (not at this bank),car (new),2000 <= ... < 4000, ... <  100 DM,4  <= ... < 7 years,1,male: single,none,4,real estate,35-39,none,own,2,unskilled - resident,1,none,no
no checking account,11-14,critical account/ other credits existing (not at this bank),furniture/equipment,4000 <= ... < 8000,unknown/ no savings account, .. >= 7 years,2,male: single,none,4,building society savings agreement/ life insurance,45-49,none,rent,1,skilled employee/ official,1,yes,yes
no checking account,19-24,existing credits paid back duly till now,car (new),1000 <= ... < 2000,.. >= 1000 DM,4  <= ... < 7 years,4,female: divorced/separated/married,none,3,car or other,30-34,none,own,1,skilled employee/ official,2,yes,yes
... >= 200 DM / salary assignments for at least 1 year,31-36,existing credits paid back duly till now,radio/television,4000 <= ... < 8000, ... <  100 DM, .. >= 7 years,4,male: single,none,2,car or other,30-34,none,own,1,skilled employee/ official,1,none,yes
0 <= ... <  200 DM,6-7,existing credits paid back duly till now,radio/television,1000 <= ... < 2000, ... <  100 DM, .. >= 7 years,4,male: single,none,4,car or other,25-29,none,own,1,skilled employee/ official,2,none,yes
... < 0 DM,19-24,critical account/ other credits existing (not at this bank),car (used),4000 <= ... < 8000, ... <  100 DM,unemployed,2,male: single,none,4,unknown/ no property,>=75,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
no checking account,15-18,critical account/ other credits existing (not at this bank),education,1000 <= ... < 2000,100 <= ... <  500 DM,1  <= ... < 4 years,4,female: divorced/separated/married,none,2,real estate,30-34,none,own,2,skilled employee/ official,1,none,yes
0 <= ... <  200 DM,49-60,existing credits paid back duly till now,car (new),4000 <= ... < 8000,100 <= ... <  500 DM,... < 1 year,4,female: divorced/separated/married,none,2,building society savings agreement/ life insurance,20-24,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
no checking account,43-48,critical account/ other credits existing (not at this bank),car (used),8000 <= ... < 16000,100 <= ... <  500 DM,1  <= ... < 4 years,2,female: divorced/separated/married,none,4,car or other,20-24,bank,rent,2,unskilled - resident,1,none,yes
... < 0 DM,19-24,no credits taken/ all credits paid back duly,furniture/equipment,4000 <= ... < 8000, ... <  100 DM, .. >= 7 years,3,male: single,none,4,unknown/ no property,20-24,bank,rent,2,skilled employee/ official,2,none,yes
... < 0 DM,6-7,critical account/ other credits existing (not at this bank),furniture/equipment,2000 <= ... < 4000, ... <  100 DM,1  <= ... < 4 years,1,male: divorced/separated,none,4,real estate,40-44,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
0 <= ... <  200 DM,11-14,existing credits paid back duly till now,radio/television,2000 <= ... < 4000, ... <  100 DM,... < 1 year,2,female: divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,20-24,none,own,1,unskilled - resident,1,none,yes
... < 0 DM,15-18,existing credits paid back duly till now,domestic appliances,1000 <= ... < 2000,unknown/ no savings account,1  <= ... < 4 years,4,female: divorced/separated/married,none,2,car or other,20-24,none,rent,1,skilled employee/ official,1,none,yes
... < 0 DM,19-24,existing credits paid back duly till now,furniture/equipment,4000 <= ... < 8000, ... <  100 DM,1  <= ... < 4 years,4,male: single,none,4,building society savings agreement/ life insurance,25-29,none,own,1,skilled employee/ official,1,none,yes
0 <= ... <  200 DM,8-10,existing credits paid back duly till now,furniture/equipment,1000 <= ... < 2000, ... <  100 DM,1  <= ... < 4 years,4,male: divorced/separated,none,2,car or other,30-34,none,own,1,unskilled - resident,1,none,yes
0 <= ... <  200 DM,19-24,critical account/ other credits existing (not at this bank),education,4000 <= ... < 8000, ... <  100 DM,... < 1 year,2,female: divorced/separated/married,none,4,unknown/ no property,20-24,none,for free,2,skilled employee/ official,1,yes,yes
... < 0 DM,19-24,existing credits paid back duly till now,furniture/equipment,2000 <= ... < 4000, ... <  100 DM,4  <= ... < 7 years,1,female: divorced/separated/married,none,4,car or other,25-29,none,rent,1,unskilled - resident,1,none,yes
0 <= ... <  200 DM,15-18,existing credits paid back duly till now,radio/television,2000 <= ... < 4000,500 <= ... < 1000 DM,... < 1 year,1,male: married/widowed,none,3,real estate,25-29,none,rent,1,skilled employee/ official,1,none,yes
0 <= ... <  200 DM,15-18,existing credits paid back duly till now,business,4000 <= ... < 8000, ... <  100 DM, .. >= 7 years,1,male: single,co-applicant,1,real estate,30-34,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
... >= 200 DM / salary assignments for at least 1 year,8-10,existing credits paid back duly till now,car (new),2000 <= ... < 4000, ... <  100 DM,... < 1 year,1,male: single,guarantor,1,building society savings agreement/ life insurance,35-39,none,own,1,unskilled - resident,2,none,yes
no checking account,15-18,critical account/ other credits existing (not at this bank),radio/television,1000 <= ... < 2000, ... <  100 DM,1  <= ... < 4 years,4,female: divorced/separated/married,none,2,car or other,40-44,none,own,1,unskilled - resident,1,none,yes
0 <= ... <  200 DM,11-14,critical account/ other credits existing (not at this bank),radio/television,500 <= ... < 1000, ... <  100 DM,... < 1 year,4,male: single,guarantor,4,real estate,20-24,none,own,2,skilled employee/ official,1,none,yes
0 <= ... <  200 DM,19-24,existing credits paid back duly till now,radio/television,2000 <= ... < 4000,500 <= ... < 1000 DM,unemployed,1,female: divorced/separated/married,none,4,unknown/ no property,20-24,none,rent,1,unemployed/ unskilled non-resident,1,none,yes
no checking account,6-7,delay in paying off in the past,business,1000 <= ... < 2000,100 <= ... <  500 DM,1  <= ... < 4 years,1,male: single,none,2,real estate,30-34,none,own,2,unskilled - resident,1,none,yes
0 <= ... <  200 DM,8-10,critical account/ other credits existing (not at this bank),education,1000 <= ... < 2000,.. >= 1000 DM, .. >= 7 years,4,male: single,none,3,unknown/ no property,30-34,none,for free,2,skilled employee/ official,2,none,yes
no checking account,8-10,existing credits paid back duly till now,domestic appliances,1000 <= ... < 2000, ... <  100 DM,... < 1 year,1,female: divorced/separated/married,none,4,real estate,20-24,none,rent,1,skilled employee/ official,1,yes,yes
0 <= ... <  200 DM,8-10,existing credits paid back duly till now,furniture/equipment,500 <= ... < 1000, ... <  100 DM,1  <= ... < 4 years,1,female: divorced/separated/married,none,2,car or other,25-29,none,own,1,skilled employee/ official,1,none,no
no checking account,15-18,critical account/ other credits existing (not at this bank),car (used),2000 <= ... < 4000,unknown/ no savings account,unemployed,2,male: single,none,4,unknown/ no property,35-39,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
... < 0 DM,11-14,no credits taken/ all credits paid back duly,radio/television,4000 <= ... < 8000, ... <  100 DM,1  <= ... < 4 years,4,male: single,none,2,building society savings agreement/ life insurance,25-29,none,rent,2,skilled employee/ official,1,yes,yes
no checking account,8-10,existing credits paid back duly till now,education,500 <= ... < 1000,500 <= ... < 1000 DM, .. >= 7 years,4,male: single,none,4,unknown/ no property,45-49,none,for free,1,skilled employee/ official,1,yes,yes
0 <= ... <  200 DM,19-24,existing credits paid back duly till now,car (new),1000 <= ... < 2000, ... <  100 DM,... < 1 year,4,male: single,none,2,real estate,20-24,stores,own,1,unskilled - resident,1,none,yes
no checking account,11-14,critical account/ other credits existing (not at this bank),radio/television,2000 <= ... < 4000,unknown/ no savings account, .. >= 7 years,1,male: single,co-applicant,4,real estate,45-49,none,own,1,skilled employee/ official,1,yes,yes
no checking account,31-36,delay in paying off in the past,radio/television,4000 <= ... < 8000, ... <  100 DM,1  <= ... < 4 years,4,male: single,none,2,car or other,25-29,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
no checking account,11-14,existing credits paid back duly till now,radio/television,500 <= ... < 1000, ... <  100 DM,1  <= ... < 4 years,4,male: married/widowed,none,2,real estate,25-29,none,own,1,skilled employee/ official,1,none,yes
... < 0 DM,25-30,existing credits paid back duly till now,furniture/equipment,2000 <= ... < 4000, ... <  100 DM,4  <= ... < 7 years,4,female: divorced/separated/married,none,4,real estate,20-24,none,rent,1,skilled employee/ official,1,none,yes
0 <= ... <  200 DM,15-18,existing credits paid back duly till now,education,1000 <= ... < 2000,unknown/ no savings account,1  <= ... < 4 years,4,male: single,none,4,unknown/ no property,60-64,none,for free,1,skilled employee/ official,1,none,yes
... >= 200 DM / salary assignments for at least 1 year,11-14,existing credits paid back duly till now,radio/television,2000 <= ... < 4000,unknown/ no savings account, .. >= 7 years,2,male: single,none,3,car or other,35-39,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
... >= 200 DM / salary assignments for at least 1 year,11-14,delay in paying off in the past,car (new),2000 <= ... < 4000, ... <  100 DM,1  <= ... < 4 years,2,female: divorced/separated/married,none,2,car or other,35-39,stores,own,2,skilled employee/ official,1,yes,yes
no checking account,6-7,existing credits paid back duly till now,furniture/equipment,1000 <= ... < 2000, ... <  100 DM,1  <= ... < 4 years,1,male: married/widowed,none,2,building society savings agreement/ life insurance,20-24,none,rent,1,skilled employee/ official,1,none,yes
... < 0 DM,15-18,existing credits paid back duly till now,furniture/equipment,2000 <= ... < 4000, ... <  100 DM,unemployed,4,male: single,none,1,car or other,25-29,none,own,1,unemployed/ unskilled non-resident,1,none,yes
no checking account,11-14,existing credits paid back duly till now,business,1000 <= ... < 2000, ... <  100 DM,4  <= ... < 7 years,2,male: single,none,4,car or other,35-39,none,own,1,skilled employee/ official,1,yes,yes
no checking account,15-18,critical account/ other credits existing (not at this bank),car (used),2000 <= ... < 4000, ... <  100 DM,4  <= ... < 7 years,3,male: single,none,1,car or other,25-29,none,own,2,skilled employee/ official,1,none,yes
... < 0 DM,15-18,existing credits paid back duly till now,furniture/equipment,2000 <= ... < 4000, ... <  100 DM,... < 1 year,1,female: divorced/separated/married,none,4,car or other,20-24,none,rent,1,skilled employee/ official,1,none,yes
... < 0 DM,31-36,existing credits paid back duly till now,furniture/equipment,2000 <= ... < 4000, ... <  100 DM, .. >= 7 years,4,male: single,none,2,car or other,40-44,none,own,1,skilled employee/ official,2,none,yes
0 <= ... <  200 DM,15-18,existing credits paid back duly till now,furniture/equipment,2000 <= ... < 4000, ... <  100 DM,4  <= ... < 7 years,2,female: divorced/separated/married,none,4,real estate,40-44,none,rent,1,skilled employee/ official,1,none,yes
no checking account,31-36,existing credits paid back duly till now,car (new),2000 <= ... < 4000,unknown/ no savings account,1  <= ... < 4 years,4,male: single,none,4,real estate,35-39,none,own,1,skilled employee/ official,1,none,yes
no checking account,15-18,critical account/ other credits existing (not at this bank),radio/television,4000 <= ... < 8000, ... <  100 DM, .. >= 7 years,3,male: single,none,4,car or other,30-34,none,own,2,skilled employee/ official,1,yes,yes
no checking account,8-10,critical account/ other credits existing (not at this bank),furniture/equipment,2000 <= ... < 4000, ... <  100 DM,... < 1 year,1,female: divorced/separated/married,none,3,real estate,20-24,none,rent,2,skilled employee/ official,1,none,yes
no checking account,49-60,critical account/ other credits existing (not at this bank),car (new),8000 <= ... < 16000,unknown/ no savings account, .. >= 7 years,2,male: single,none,4,unknown/ no property,60-64,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
0 <= ... <  200 DM,49-60,all credits at this bank paid back duly,others,8000 <= ... < 16000,100 <= ... <  500 DM, .. >= 7 years,3,female: divorced/separated/married,none,4,unknown/ no property,60-64,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
... < 0 DM,43-48,all credits at this bank paid back duly,business,4000 <= ... < 8000, ... <  100 DM,4  <= ... < 7 years,2,female: divorced/separated/married,guarantor,4,car or other,35-39,none,rent,1,skilled employee/ official,1,none,yes
no checking account,15-18,delay in paying off in the past,radio/television,2000 <= ... < 4000, ... <  100 DM,unemployed,2,male: married/widowed,none,3,real estate,30-34,none,own,2,skilled employee/ official,1,none,yes
no checking account,6-7,delay in paying off in the past,radio/television,500 <= ... < 1000,unknown/ no savings account, .. >= 7 years,3,male: single,none,4,unknown/ no property,35-39,none,for free,1,skilled employee/ official,1,none,yes
0 <= ... <  200 DM,31-36,existing credits paid back duly till now,car (new),8000 <= ... < 16000, ... <  100 DM, .. >= 7 years,4,male: single,none,2,unknown/ no property,55-59,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
no checking account,6-7,critical account/ other credits existing (not at this bank),car (new),... < 500,100 <= ... <  500 DM,1  <= ... < 4 years,4,female: divorced/separated/married,none,4,car or other,50-54,none,own,2,unskilled - resident,1,none,yes
... < 0 DM,19-24,existing credits paid back duly till now,furniture/equipment,2000 <= ... < 4000,unknown/ no savings account,4  <= ... < 7 years,4,male: single,none,4,car or other,35-39,none,own,1,skilled employee/ official,1,yes,yes
0 <= ... <  200 DM,15-18,existing credits paid back duly till now,car (used),8000 <= ... < 16000, ... <  100 DM,unemployed,3,female: divorced/separated/married,none,4,unknown/ no property,35-39,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
no checking account,19-24,existing credits paid back duly till now,car (new),1000 <= ... < 2000,unknown/ no savings account,4  <= ... < 7 years,4,female: divorced/separated/married,none,4,building society savings agreement/ life insurance,25-29,none,rent,1,skilled employee/ official,1,none,yes
... >= 200 DM / salary assignments for at least 1 year,11-14,existing credits paid back duly till now,car (new),1000 <= ... < 2000, ... <  100 DM,... < 1 year,4,male: single,none,1,real estate,25-29,none,own,1,skilled employee/ official,1,none,yes
no checking account,25-30,delay in paying off in the past,business,4000 <= ... < 8000,100 <= ... <  500 DM,1  <= ... < 4 years,2,male: single,none,2,building society savings agreement/ life insurance,25-29,none,own,2,unskilled - resident,1,none,yes
no checking account,15-18,critical account/ other credits existing (not at this bank),radio/television,2000 <= ... < 4000, ... <  100 DM,1  <= ... < 4 years,2,female: divorced/separated/married,none,1,car or other,25-29,none,own,2,skilled employee/ official,1,none,yes
no checking account,15-18,existing credits paid back duly till now,radio/television,1000 <= ... < 2000,unknown/ no savings account,... < 1 year,4,female: divorced/separated/married,none,2,real estate,20-24,none,rent,1,skilled employee/ official,1,yes,yes
